Description,Given Category,Given Sub-Category,Category,Sub_Category
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings,,
Magna Visual Magnetic Picture Hangers,Furniture,Furnishings,,
Kingston Digital DataTraveler 32GB USB 2.0,Technology,Accessories,,
Logitech Illuminated - Keyboard,Technology,Accessories,,
"DataProducts Ampli Magnifier Task Lamp, Black,",Furniture,Furnishings,,
Wilson Electronics DB Pro Signal Booster,Technology,Phones,,
Tuf-Vin Binders,Office Supplies,Binders,,
Embossed Ink Jet Note Cards,Office Supplies,Paper,,
Belkin F9S820V06 8 Outlet Surge,Office Supplies,Appliances,,
24-Hour Round Wall Clock,Furniture,Furnishings,,
Xerox 1933,Office Supplies,Paper,,
Standard Rollaway File with Lock,Office Supplies,Storage,,
Peel & Stick Add-On Corner Pockets,Office Supplies,Binders,,
Newell 319,Office Supplies,Art,,
Fellowes Black Plastic Comb Bindings,Office Supplies,Binders,,
Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,Technology,Accessories,,
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,,
"White Envelopes, White Envelopes with Clear Poly Window",Office Supplies,Envelopes,,
Tops White Computer Printout Paper,Office Supplies,Paper,,
Enermax Acrylux Wireless Keyboard,Technology,Accessories,,
Newell 319,Office Supplies,Art,,
"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,,
Xerox 1928,Office Supplies,Paper,,
Eldon Shelf Savers Cubes and Bins,Office Supplies,Storage,,
"GBC Velobind Prepunched Cover Sets, Regency Series",Office Supplies,Binders,,
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,,
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,,
Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,,
VTech DS6151,Technology,Phones,,
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,,
GE 30524EE4,Technology,Phones,,
Logitech Wireless Gaming Headset G930,Technology,Accessories,,
Flat Face Poster Frame,Furniture,Furnishings,,
Newell 32,Office Supplies,Art,,
Sharp 1540cs Digital Laser Copier,Technology,Copiers,,
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,Appliances,,
Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,,
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,,
Motorola Droid Maxx,Technology,Phones,,
Hanging Personal Folder File,Office Supplies,Storage,,
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders,,
"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,,
"Personal Folder Holder, Ebony",Office Supplies,Storage,,
Staple-based wall hangings,Furniture,Furnishings,,
Prestige Round Ring Binders,Office Supplies,Binders,,
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,,
Sterilite Officeware Hinged File Box,Office Supplies,Storage,,
Xerox 226,Office Supplies,Paper,,
Memorex Froggy Flash Drive 4 GB,Technology,Accessories,,
Petty Cash Envelope,Office Supplies,Paper,,
Xerox 1935,Office Supplies,Paper,,
"GBC White Gloss Covers, Plain Front",Office Supplies,Binders,,
Samsung Convoy 3,Technology,Phones,,
Sony 16GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,,
Avery Round Ring Poly Binders,Office Supplies,Binders,,
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Office Supplies,Envelopes,,
Bagged Rubber Bands,Office Supplies,Fasteners,,
Advantus Rolling Storage Box,Office Supplies,Storage,,
Bionaire 99.97% HEPA Air Cleaner,Office Supplies,Appliances,,
3M Hangers With Command Adhesive,Furniture,Furnishings,,
Shocksock Galaxy S4 Armband,Technology,Phones,,
"Howard Miller 16"" Diameter Gallery Wall Clock",Furniture,Furnishings,,
Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,Binders,,
Rogers Deluxe File Chest,Office Supplies,Storage,,
Cardinal Hold-It CD Pocket,Office Supplies,Binders,,
Newell 32,Office Supplies,Art,,
Xerox 1966,Office Supplies,Paper,,
Xerox 1967,Office Supplies,Paper,,
Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,,
"Eldon Executive Woodline II Desk Accessories, Mahogany",Furniture,Furnishings,,
Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Technology,Accessories,,
Newell 32,Office Supplies,Art,,
Newell 32,Office Supplies,Art,,
"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Office Supplies,Envelopes,,
"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,,
"Adams ""While You Were Out"" Message Pads",Office Supplies,Paper,,
Howard Miller Distant Time Traveler Alarm Clock,Furniture,Furnishings,,
Xerox 1994,Office Supplies,Paper,,
Avery Non-Stick Binders,Office Supplies,Binders,,
Avery 491,Office Supplies,Labels,,
Belkin OmniView SE Rackmount Kit,Office Supplies,Storage,,
"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Office Supplies,Fasteners,,
Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,Electronics,Electronics_misc
GBC Imprintable Covers,Office Supplies,Binders,,
Safco Commercial Shelving,Office Supplies,Storage,,
Logitech Wireless Marathon Mouse M705,Technology,Accessories,,
Xerox 209,Office Supplies,Paper,,
Xerox 1966,Office Supplies,Paper,,
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,,
Staple envelope,Office Supplies,Envelopes,,
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,Electronics,Electronics_misc
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,,
Spigen Samsung Galaxy S5 Case Wallet,Technology,Phones,,
Vtech CS6719,Technology,Phones,,
Xerox 198,Office Supplies,Paper,,
Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Furnishings,,
Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,,
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,Office Supplies,Appliances,,
Binding Machine Supplies,Office Supplies,Binders,,
Advantus SlideClip Paper Clips,Office Supplies,Fasteners,,
Wilson Jones Standard D-Ring Binders,Office Supplies,Binders,,
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Furniture,Furnishings,,
Staple envelope,Office Supplies,Envelopes,,
"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Office Supplies,Paper,,
Microsoft Arc Touch Mouse,Technology,Accessories,,
Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,,
Staple remover,Office Supplies,Supplies,,
Avery Non-Stick Binders,Office Supplies,Binders,,
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,,
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage,,
Harmony HEPA Quiet Air Purifiers,Office Supplies,Appliances,,
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,,
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,,
Polycom SoundStation2 EX Conference phone,Technology,Phones,,
"File Shuttle II and Handi-File, Black",Office Supplies,Storage,,
Iris Project Case,Office Supplies,Storage,,
Cardinal Poly Pocket Divider Pockets for Ring Binders,Office Supplies,Binders,,
Newell 32,Office Supplies,Art,,
"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,,
Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,,
Samsung Galaxy S4,Technology,Phones,,
Nu-Dell Executive Frame,Furniture,Furnishings,,
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,,
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,,
Plantronics MX500i Earset,Technology,Phones,,
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Furnishings,,
Flat Face Poster Frame,Furniture,Furnishings,,
DAX Solid Wood Frames,Furniture,Furnishings,,
Newell 32,Office Supplies,Art,,
Xerox 199,Office Supplies,Paper,,
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
"Seth Thomas 14"" Day/Date Wall Clock",Furniture,Furnishings,,
Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,,
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,,
DAX Natural Wood-Tone Poster Frame,Furniture,Furnishings,,
Xerox 1910,Office Supplies,Paper,,
Xerox 1915,Office Supplies,Paper,,
Newell 320,Office Supplies,Art,,
"SlimView Poly Binder, 3/8""",Office Supplies,Binders,,
"Stacking Tray, Side-Loading, Legal, Smoke",Furniture,Furnishings,,
GBC Twin Loop Wire Binding Elements,Office Supplies,Binders,,
Round Ring Binders,Office Supplies,Binders,,
3M Hangers With Command Adhesive,Furniture,Furnishings,,
Aastra 57i VoIP phone,Technology,Phones,,
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,,
Xerox 209,Office Supplies,Paper,,
Aluminum Screw Posts,Office Supplies,Binders,,
Fellowes Desktop Hanging File Manager,Office Supplies,Storage,,
Avery Durable Poly Binders,Office Supplies,Binders,,
Tennsco Single-Tier Lockers,Office Supplies,Storage,,
LG Exalt,Technology,Phones,,
Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,,
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,,
V7 USB Numeric Keypad,Technology,Accessories,,
Newell 320,Office Supplies,Art,,
"Peel & Seel Recycled Catalog Envelopes, Brown",Office Supplies,Envelopes,,
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furniture,Furnishings,,
Xerox 1933,Office Supplies,Paper,,
Newell 320,Office Supplies,Art,,
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,,
"Strathmore #10 Envelopes, Ultimate White",Office Supplies,Envelopes,,
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,,
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,,
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,Fasteners,,
Polycom VVX 310 VoIP phone,Technology,Phones,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",Technology,Accessories,,
Eldon Pizzaz Desk Accessories,Furniture,Furnishings,,
Mobile Personal File Cube,Office Supplies,Storage,,
Newell 320,Office Supplies,Art,,
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,,
"OIC Binder Clips, Mini, 1/4"" Capacity, Black",Office Supplies,Fasteners,,
Avery 489,Office Supplies,Labels,,
HP Office Recycled Paper (20Lb. and 87 Bright),Office Supplies,Paper,,
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,,
"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,,
Portable Personal File Box,Office Supplies,Storage,,
Advantus Rolling Storage Box,Office Supplies,Storage,,
Avery 494,Office Supplies,Labels,,
Newell 320,Office Supplies,Art,,
Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,,
Xerox 1883,Office Supplies,Paper,,
Newell 320,Office Supplies,Art,,
Staple-based wall hangings,Furniture,Furnishings,,
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,,
Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,Appliances,,
Motorola HK250 Universal Bluetooth Headset,Technology,Phones,,
"Universal Recycled Hanging Pressboard Report Binders, Letter Size",Office Supplies,Binders,,
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper,,
SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders,,
"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders,,
12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,,
Xerox 1893,Office Supplies,Paper,,
SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders,,
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Furnishings,,
Contemporary Wood/Metal Frame,Furniture,Furnishings,,
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,,
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,,
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings,,
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,,
Eldon Image Series Black Desk Accessories,Furniture,Furnishings,,
"Executive Impressions 14""",Furniture,Furnishings,,
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,,
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,,
GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,,
Acme Design Stainless Steel Bent Scissors,Office Supplies,Supplies,,
Avery Durable Poly Binders,Office Supplies,Binders,,
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,,
"Executive Impressions 12"" Wall Clock",Furniture,Furnishings,,
Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,,
XtraLife ClearVue Slant-D Ring Binders by Cardinal,Office Supplies,Binders,,
Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,,
HP Standard 104 key PS/2 Keyboard,Technology,Accessories,,
Staples,Office Supplies,Fasteners,,
Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,,
Xerox 1907,Office Supplies,Paper,,
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,,
Catalog Binders with Expanding Posts,Office Supplies,Binders,,
"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,,
"Master Caster Door Stop, Brown",Furniture,Furnishings,,
Xerox 1954,Office Supplies,Paper,,
Xerox 1905,Office Supplies,Paper,,
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Office Supplies,Paper,,
Xerox 1887,Office Supplies,Paper,,
Panasonic KX TS3282B Corded phone,Technology,Phones,,
"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders,,
24-Hour Round Wall Clock,Furniture,Furnishings,,
Belkin Standard 104 key USB Keyboard,Technology,Accessories,,
Newell 320,Office Supplies,Art,,
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,,
Xerox 1882,Office Supplies,Paper,,
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Office Supplies,Appliances,,
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,Electronics,Electronics_misc
Stackable Trays,Furniture,Furnishings,,
Kensington 4 Outlet MasterPiece Compact Power Control Center,Office Supplies,Appliances,,
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,,
"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,,
Zipper Ring Binder Pockets,Office Supplies,Binders,,
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Furnishings,,
Microsoft Sculpt Comfort Mouse,Technology,Accessories,,
Kingston Digital DataTraveler 16GB USB 2.0,Technology,Accessories,,
"Contract Clock, 14"", Brown",Furniture,Furnishings,,
Xerox 1909,Office Supplies,Paper,,
Rosewill 107 Normal Keys USB Wired Standard Keyboard,Technology,Accessories,,
"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage,,
"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,,
Xerox 1881,Office Supplies,Paper,,
Sterilite Show Offs Storage Containers,Office Supplies,Storage,,
Avery 490,Office Supplies,Labels,,
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,,
"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,,
"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,,
Xerox 1919,Office Supplies,Paper,,
"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Office Supplies,Paper,,
"Dana Fluorescent Magnifying Lamp, White, 36""",Furniture,Furnishings,,
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,,
Plastic Stacking Crates & Casters,Office Supplies,Storage,,
"Computer Room Manger, 14""",Furniture,Furnishings,,
Avery 495,Office Supplies,Labels,,
Xerox 1934,Office Supplies,Paper,,
Nu-Dell Leatherette Frames,Furniture,Furnishings,,
Nortel Networks T7316 E Nt8 B27,Technology,Phones,,
Poly String Tie Envelopes,Office Supplies,Envelopes,,
Avery 51,Office Supplies,Labels,,
12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,,
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,,
Avery 473,Office Supplies,Labels,,
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,,
"Executive Impressions 12"" Wall Clock",Furniture,Furnishings,,
"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,,
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Office Supplies,Storage,,
iOttie HLCRIO102 Car Mount,Technology,Phones,,
"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,,
Newell 321,Office Supplies,Art,,
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,,
Avery 49,Office Supplies,Labels,,
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,Supplies,,
Staple-based wall hangings,Furniture,Furnishings,,
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,,
3M Hangers With Command Adhesive,Furniture,Furnishings,,
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings,,
12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,,
