Description,Category,Sub_Category,ProductBrand,Description2
DressBerry Women Rust Red & Black Colourblocked Sweater,Clothes,Clothes,DressBerry,"Rust red and Black colourblocked sweater, has a round neck, long sleeves, and ribbed hem"
GAP Boys Blue Printed Round Neck T-shirt,Clothes,Clothes,GAP,"Blue printed T-shirt, has a round neck, and long sleeves"
Pipa Bella Gold-Toned & White Circular Hoop Earrings,Clothes,Jewelry,Pipa Bella,"Gold-Toned and White Circular Earrings, gold-plated, and has artificial stones Secured with a post and back"
Indian Terrain Men Green & Navy Blue Slim Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Green, navy blue and yellow checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Mast & Harbour Women Maroon Embroidered Detail Sweatshirt,Clothes,Clothes,Mast & Harbour,"Maroon solid sweatshirt with embroidered detail, has a round neck, long sleeves, straight hem"
Puma Men Grey Magnum IDP Running Shoes,Clothes,Shoes,Puma,"A pair of grey running sports shoes, has regular styling, lace-up detailBrand Color: Asphalt-Puma SilverMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
GAP Boys Graphic Sweatshirt,Clothes,Clothes,GAP,"Standout, specially designed graphics let you be youCozy fleeceLong sleeves with banded cuffsCrewneckAssorted graphics at front"
Nike Women Black Solid CITY SLEEK SS DRI-FIT Top,Clothes,Clothes,Nike,SPECIAL TECHNOLOGY:Quick-drying materialPRODUCT DETAILS:Black solid knitted topHas a round neckReflective strip at backShort sleevesWarranty: 6 months(warranty not valid on products with more than 20% discount)
Roadster Women Black & Blue Printed Round Neck T-shirt,Clothes,Clothes,Roadster,"Black and blue printed T-shirt, has a round neck, and short sleeves"
Khushal K Women Green & Blue Solid Kurta with Palazzos,,,Khushal K,"Green and blue solid kurta with palazzosGreen solid straight calf length kurta, has a notched round neck, three-quarter sleeves, straight hem, side slitsGreen and blue printed palazzos, has partially elasticated waistband, slip-on closure"
Indian Terrain Men Grey Urban Comfort Fit Regular Fit Solid Smart Casual Regular Trousers,Clothes,Clothes,Indian Terrain,"Grey solid low-rise smart casual regular trousers, button closure, and 5 pocketsDisclaimer:Our stylist has styled this pair of trousers with a belt. It does not come with a belt."
Jewels Galaxy Silver-Toned Antique Gold-Plated Stone-Studded Heart Shaped Drop Earrings,Clothes,Jewelry,Jewels Galaxy,"Silver-toned gold-plated heart shaped drop earrings, has artificial stones and beadsSecured with a post and back closure"
Roadster Women Olive Green Printed Round Neck T-shirt,Clothes,Clothes,Roadster,"olive green printed T-shirt, has a round neck, and long sleeves"
Indian Terrain Boys Turquoise & Navy Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Turquoise and navy blue checked casual shirt, has a hood, long sleeves, button placket, curved hem, and 2 flap pocketsHas an attached hood & jacket front for outdoor purposes"
Chkokko Men Charcoal Grey Solid V-Neck T-shirt,Clothes,Clothes,Chkokko,"Charcoal grey solid T-shirt, has a V-neck, and short sleeves"
Indian Terrain Men Khaki Urban Tapered Fit Self Design Smart Casual Regular Trousers,Clothes,Clothes,Indian Terrain,"Khaki self-design low-rise smart casual regular trousers, button closure, and 4 pockets"
Chkokko Men Green Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Green solid T-shirt, has a polo collar, short sleeves, and 1 pocket"
Indian Terrain Men White & Blue Striped Polo T-shirt,Clothes,Clothes,Indian Terrain,"White, blue and red striped T-shirt, has a polo collar, and short sleeves"
Kittens Boys Navy Blue Loafers,,,Kittens,"A pair of round-toe navy blue loafers, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Indian Terrain Men Khaki Kansas Regular Fit Self Design Regular Trousers,Clothes,Clothes,Indian Terrain,"Khaki self-design low-rise trousers, button closure, and 5 pockets"
MANGO Women White & Black Striped Shirt Style Top,Clothes,Clothes,MANGO,"White and black striped woven shirt style top, has a shirt collar, long sleeve, button closure, high-low hem"
GAP Boy Stripe Long Sleeve T-shirt,Clothes,Clothes,GAP,Soft jersey knitLong sleevesCrewneckPatch pocket at chestAllover stripes
Indian Terrain Men Khaki Brooklyn Regular Fit Solid Regular Trousers,Clothes,Clothes,Indian Terrain,"Khaki solid mid-rise trousers, button closure, and 5 pockets"
Indian Terrain Men Blue Slim Fit Printed Regular Shorts,Clothes,Clothes,Indian Terrain,"Blue printed mid-rise regular shorts, has 4 pockets, and button closure"
Indian Terrain Men Black Brooklyn Slim Fit Self Design Regular Trousers,Clothes,Clothes,Indian Terrain,"Black self-design low-rise trousers, button closure, and 4 pockets"
Indian Terrain Men Lavender Oxford Slim Fit Solid Smart Casual Shirt,Clothes,Clothes,Indian Terrain,"Lavender solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
MANGO Women Blue Regular Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Clothes,Clothes,MANGO,"Blue light wash 5-pocket mid-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
Pipa Bella Gold-Toned & White Gold-Plated Circular Hoop Earrings,Clothes,Jewelry,Pipa Bella,Gold-Toned and White Circular Earrings and gold-plated Secured with a post and back
Indian Terrain Men Black Kruger Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Indian Terrain,"Black dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
GAP Girl Graphic Long Sleeve T-Shirt,Clothes,Clothes,GAP,Soft knitLong sleevesRibbing at crewneckAssorted graphics at front
KLEIO Beige Solid Sling Bag,Clothes,Bags_Accessories,KLEIO,"Beige  solid sling bag with buckle detail detail, has a button closure1 main compartment, 1 external and 1 inner pocketTablet sleeve: NoNon-Detachable Sling StrapWarranty: 3 monthsWarranty provided by brand/manufacturer"
GAP Girls Pink Printed Round Neck T-shirt,Clothes,Clothes,GAP,Soft knitLong sleevesRibbing at crewneckAssorted graphics at front
Indian Terrain Men Red Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Red striped T-shirt, has a polo collar, and short sleeves"
Chkokko Men Navy Blue Solid Henley Neck T-shirt,Clothes,Clothes,Chkokko,"Navy Blue solid T-shirt, has a Henley neck, and short sleeves"
Kittens Girls Gold-Toned Flatforms,,,Kittens,"A pair of round-toe gold-toned flatforms, has regular styling, velcro detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Kraft Cellar Women Brown Textured Flatforms,,,Kraft Cellar,"A pair of brown open toe Flatforms, has mid-top styling, open back detailSynthetic Patent upperCushioned footbedTextured and patterned outsole, has a comfort heel"
Indian Terrain Boys Yellow Solid Sweater,Clothes,Clothes,Indian Terrain,"Yellow solid sweater, has a V-neck, long sleeves, and ribbed hem"
Franco Leone Men Black Comfort Sandals,Clothes,Shoes,Franco Leone,A pair of black comfort sandalsRubber upper with slip-on closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
Chkokko Women Purple Solid Hooded Sweatshirt,Clothes,Clothes,Chkokko,"Purple solid sweatshirt, has an attached hood, long sleeves, one pocket"
Cortina White & GreenSingle Long Door Curtain,Home,Decor,Cortina,Set content: Single long door curtainColour: White and greenPattern: Ethnic motifsLight blocking: Room darkeningFitting: Eyelet
Indian Terrain Boys Olive Brown Regular Fit Solid Regular Trousers,Clothes,Clothes,Indian Terrain,"Olive brown solid mid-rise trousers, button closure, and 4 pockets"
HIGHLANDER Men Navy Blue & Grey Slim Fit Checked Regular Trousers,Clothes,Clothes,HIGHLANDER,"Navy Blue and Grey checked mid-rise trousers, button closure, and 4 pockets"
Chkokko Men Blue Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Blue solid T-shirt, has a round neck, and long sleeves"
Chkokko Men Green Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Green solid T-shirt, has a polo collar, and short sleeves"
Cortina Pink Single Long Door Curtain,Home,Decor,Cortina,Set content: Single Long Door curtainColour: PinkPattern: Floral Long DoorLight blocking: Room DarkeningFitting: EyeletLining: No
Chkokko Men Coral Orange Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Coral orange solid T-shirt, has a round neck, and long sleeves"
Kraft Cellar Women Gold-Toned & Black Solid Pumps,,,Kraft Cellar,"A pair of gold-toned & black pointed toe pumps, has regular styling, closed back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heel"
Indian Terrain Men Red Checked Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Red checked T-shirt, has a polo collar, and short sleeves"
GAP Boys Logo Short Sleeve Tshirt,Clothes,Clothes,GAP,"Standout, specially designed graphics let you be youSoft knitPanels at short sleevesCrewneckLogo at chest"
Indian Terrain Boys Blue Regular Fit Solid Trousers,Clothes,Clothes,Indian Terrain,"Blue solid mid-rise trousers, button closure, and 7 pockets"
Indian Terrain Boys Red & Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,Indian Terrain,"Red and Blue checked casual shirt, has a slim collar, long sleeves, button placket, and curved hem"
Kraft Cellar Women Gold-Toned Woven Design Mules,,,Kraft Cellar,"A pair of gold-toned open toe mules, has mid-top styling, open back detailSynthetic Patent upperCushioned footbedTextured and patterned outsole, has a block heel"
Indian Terrain Men Red & Navy Blue Striped Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Red, Navy Blue and White striped T-shirt, has a polo collar, and short sleeves"
Chkokko Men Navy Blue Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Navy Blue solid T-shirt, has a polo collar, and short sleeves"
Kraft Cellar Women Pink Textured Synthetic Patent Ballerinas,,,Kraft Cellar,"A pair of pink round-toe flats, has regular styling, slip-on detailSynthetic patent upperCushioned footbedTextured and patterned outsole"
Indian Terrain Men Brown Printed Polo Collar T-shirt,Clothes,Clothes,Indian Terrain,"Brown printed T-shirt, has a polo collar, and short sleeves"
SOLES Women Gold-Toned Embellished Open Toe Flats,Clothes,Shoes,SOLES,"A pair of gold-toned open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsole"
Chkokko Men Maroon Solid Polo Collar T-shirt,Clothes,Clothes,Chkokko,"Maroon solid T-shirt, has a polo collar, and short sleeves"
Indian Terrain Boys Blue Regular Fit Solid Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Tokyo Talkies Women Maroon Regular Fit Checked Casual Shirt,Clothes,Clothes,Tokyo Talkies,"Maroon checked casual shirt, has a mandarin collar, three-quarter sleeves, button placket, and curved hem"
DOROTHY PERKINS Women Mustard Yellow Regular Fit Solid Cropped Trousers,Clothes,Clothes,DOROTHY PERKINS,"Mustard yellow solid mid-rise cropped trousers, has a hook and bar closure, zip fly, two mock pockets on the back"
Chkokko Women Maroon Solid Round Neck T-shirt,Clothes,Clothes,Chkokko,"Maroon solid T-shirt, has a round neck, and short sleeves"
Puma Unisex Black & White Colourblocked Smash v2 Vulc SL Sneakers,Clothes,Shoes,Puma,"Special TechnologyEngineered with softFoam technologyProduct DetailsA pair of round-toe black & white sneakers, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
GAP Girls Flippy Sequin Graphic T-shirt,Clothes,Clothes,GAP,"Soft knitDropped shoulders, short sleevesFlippy sequin embellishments at frontCrewneckAssorted graphics at front"
Indian Terrain Men Grey Brooklyn Slim Fit Self -Checked Regular Trousers,Clothes,Clothes,Indian Terrain,"Grey self-design low-rise regular trousers, button closure, and 4 pockets"
Kraft Cellar Women Silver-Toned & Black Solid Pumps,,,Kraft Cellar,"A pair of silver-toned & black pointed toe pumps, has regular styling, closed back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heel"
Cortina Green Set of Single Long Door Curtain,Home,Decor,Cortina,Set content: Single Long Door curtainsColour: GreenPattern: Ethnic Motifs Long DoorLight blocking: Room DarkeningFitting: EyeletLining: No
Club York Men Maroon Striped Round Neck T-shirt,Clothes,Clothes,Club York,"Maroon and White striped T-shirt, has a round neck, and long sleeves"
Indian Terrain Boys Olive Green & Black Regular Fit Printed Casual Shirt,Clothes,Clothes,Indian Terrain,"Olive Green and Black printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Nike Men Black & White Printed Standard Fit AS M NSW FUTURA Round Neck T-shirt,Clothes,Clothes,Nike,PRODUCT DESIGN DETAILS:Black and white printedÂ t-shirthas a round neckshort sleevesWarranty: 6 months against manufacturing defects (not valid on products with more than 20% discount)
Indian Terrain Boys Blue Regular Fit Printed Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue printed casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket"
GAP Girls Super Skinny Jeans with Fantastiflex,Clothes,Clothes,GAP,"Our tried-and-true classic Premium stretch 1969 denimDark indigo wash.Button at center front (sizes 4-8 have a hook & bar closure beneath faux snap for easy on and off), zip fly.Five-pocket styling.The water used in the process of washing and dyeing these jeans is specially treated to ensure it is safe and clean when it leaves the factory."
Indian Terrain Men Light Khaki Kansas Regular Fit Self Design Regular Trousers,Clothes,Clothes,Indian Terrain,"Light Khaki self-design mid-rise trousers, button closure, and 4 pockets"
Free Authority Game Of Thrones featured Blue Tshirt for Men,Clothes,Clothes,Free Authority,"Blue printed T-shirt, has a round neck, and short sleeves"
Indian Terrain Boys Blue Regular Fit Solid Casual Shirt,Clothes,Clothes,Indian Terrain,"Blue solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 welt pocket"
KazarMax Women Black Slip-On Walking Sneakers,Clothes,Shoes,KazarMax,"A pair of round-toe black slip-on walking sneakers, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
GAP Boys Graphic Long Sleeve T-shirt,Clothes,Clothes,GAP,Soft knitLong sleevesRibbing at crewneckAssorted graphics at front
Akiva Women Teal Green & Black Self Design Lightweight Sweater,Clothes,Clothes,Akiva,"Teal green and black self-design lightweight pullover sweater, has a round neck, three-quarter sleeves, ribbed hem"
